gvkeyx,bkvlps,dvrate,epsx12,prccm,datadate,tic
000003,,21.3760,61.5870,1180.5900,20050331,I0003
000003,,21.3760,61.5870,1156.8500,20050430,I0003
000003,,21.3760,61.5870,1191.5000,20050531,I0003
000003,,21.4560,64.6790,1191.3300,20050630,I0003
000003,,21.4560,64.6790,1234.1800,20050731,I0003
000003,,21.4560,64.6790,1220.3300,20050831,I0003
000003,,21.7160,67.9140,1228.8100,20050930,I0003
000003,,21.7160,67.9140,1207.0100,20051031,I0003
000003,,21.7160,67.9140,1249.4800,20051130,I0003
000003,453.0604,24.3160,71.3200,1248.2900,20051231,I0003
000003,,24.3160,71.3200,1280.0800,20060131,I0003
000003,,24.3160,71.3200,1280.6600,20060228,I0003
000003,,23.6560,74.0430,1294.8300,20060331,I0003
000003,,23.6560,74.0430,1310.6100,20060430,I0003
000003,,23.6560,74.0430,1270.0900,20060531,I0003
000003,,24.0680,75.9410,1270.2000,20060630,I0003
000003,,24.0680,75.9410,1276.6600,20060731,I0003
000003,,24.0680,75.9410,1303.8200,20060831,I0003
000003,,24.3520,80.0960,1335.8500,20060930,I0003
000003,,24.3520,80.0960,1377.9400,20061031,I0003
000003,,24.3520,80.0960,1400.6300,20061130,I0003
000003,504.3947,27.4680,83.1000,1418.3000,20061231,I0003
000003,,27.4680,83.1000,1438.2400,20070131,I0003
000003,,27.4680,83.1000,1406.8200,20070228,I0003
000003,,26.0880,84.7800,1420.8600,20070331,I0003
000003,,26.0880,84.7800,1482.3700,20070430,I0003
000003,,26.0880,84.7800,1530.6200,20070531,I0003
000003,,26.7720,86.6600,1503.3500,20070630,I0003
000003,,26.7720,86.6600,1455.2700,20070731,I0003
000003,,26.7720,86.6600,1473.9900,20070831,I0003
000003,,27.5840,80.3200,1526.7500,20070930,I0003
000003,,27.5840,80.3200,1549.3800,20071031,I0003
000003,,27.5840,80.3200,1481.1400,20071130,I0003
000003,529.5949,30.4840,67.8100,1468.3600,20071231,I0003
000003,,30.4840,67.8100,1378.5500,20080131,I0003
000003,,30.4840,67.8100,1330.6300,20080229,I0003
000003,,28.3680,61.9100,1322.7000,20080331,I0003
000003,,28.3680,61.9100,1385.5900,20080430,I0003
000003,,28.3680,61.9100,1400.3800,20080531,I0003
000003,,28.4120,52.7000,1280.0000,20080630,I0003
000003,,28.4120,52.7000,1267.3800,20080731,I0003
000003,,28.4120,52.7000,1282.8300,20080831,I0003
000003,,28.1520,47.1770,1166.3600,20080930,I0003
000003,,28.1520,47.1770,968.7500,20081031,I0003
000003,,28.1520,47.1770,896.2400,20081130,I0003
000003,451.3729,28.6160,15.9010,903.2500,20081231,I0003
000003,,28.6160,15.9010,825.8800,20090131,I0003
000003,,28.6160,15.9010,735.0900,20090228,I0003
000003,,23.8400,7.6880,797.8700,20090331,I0003
000003,,23.8400,7.6880,872.8100,20090430,I0003
000003,,23.8400,7.6880,919.1400,20090531,I0003
000003,,21.7680,8.1870,919.3200,20090630,I0003
